"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"CG313134",15.6774265303351,18.9054726368159,"CG31313","4",-0.00759607571985154
"mgl4",2.16953054882967,5.72139303482587,"mgl","4",-0.298543535307356
"tyf4",0.304894313488426,1.49253731343284,"tyf","4",-1.36997180291313
"dnc4",7.61605901736099,16.9154228855721,"dnc","4",-0.928063216077668
"shi4",0.372756361910961,2.48756218905473,"shi","4",-0.611354185195475
"Prat24",5.43869078560625,14.6766169154229,"Prat2","4",1.10946769965347
"flw4",1.21599362483678,5.22388059701492,"flw","4",-0.925085706629229
"Men4",8.83853580178669,18.1592039800995,"Men","4",0.350708059543426
"Cpr49Ae4",0.746465121985225,2.48756218905473,"Cpr49Ae","4",-0.329066927863538
"CG400064",0.476101992683662,2.48756218905473,"CG40006","4",-0.748025362663284
"Cys4",11.3040237627974,15.1741293532338,"Cys","4",-0.0541838062555888
"CLIP-1904",9.40916106422115,18.6567164179104,"CLIP-190","4",-0.700741243695787
"DIP-alpha4",28.0447394898814,20.3980099502488,"DIP-alpha","4",-0.508548649451188
"CG59534",0.742131730402939,4.47761194029851,"CG5953","4",-0.873423183903909
"dally4",0.759672654814581,3.73134328358209,"dally","4",-0.817324417076259
"CG12134",6.62024453130954,15.4228855721393,"CG1213","4",1.04641357779432
"Cip44",0.970307435111123,4.47761194029851,"Cip4","4",-0.924255093154547
"RapGAP14",1.00987631079485,4.97512437810945,"RapGAP1","4",-0.451045643651764
"apolpp5",199.404227655745,66.1290322580645,"apolpp","5",0.793543248864082
"GEFmeso5",1.24897999438909,4.83870967741935,"GEFmeso","5",-0.259068126721406
"CG313135",8.7063406145098,9.67741935483871,"CG31313","5",-0.248914118357719
"mgl5",5.64269893821891,8.38709677419355,"mgl","5",-0.113020328253541
"tyf5",2.87605454663047,9.35483870967742,"tyf","5",1.2457340381609
"dnc5",36.4182692213236,47.0967741935484,"dnc","5",0.577437945616036
"shi5",2.79555943527606,10,"shi","5",-0.0347651973225107
"Prat25",4.34560023090494,8.06451612903226,"Prat2","5",0.710059714106513
